CCTV-1综合 cctv1
CCTV-2财经 cctv2
家有购物 jiayou-yangshi1
CCTV-3综艺 cctv3
CCTV-4中文国际 cctv4
CCTV-5体育 cctv5
环球购物 huanqiu131-2
CCTV-6电影 cctv6
CCTV-7军事农业 cctv7
CCTV-8电视剧 cctv8
好买手家具 haomaishou-zhejiang
CCTV-9记录 cctv9
CCTV-10科教 cctv10
央广购物 yangguang-yangguang1
CCTV-11戏曲 cctv11
CCTV-12社会与法 cctv12
UGO优购物 yougouwu
CCTV-13新闻 cctvnew
CCTV-14少儿 cctvshaoer
CCTV-15音乐 cctvmusic
CCTV-5+体育赛事 cctv5jiaHD
中科商城 zhongkeshangcheng
CCTV-风云足球 fyzq
CCTV-高尔夫网球 golfwangqiu
CCTV-世界地理 shijiedili
聚鲨国际 huanqiu_guoji
UGO生活馆 ugoshenghuoguan
CCTV-风云音乐 fyyy
CCTV-第一剧场 dyjc
乐拍购物 lepaigouwu-jiangsu
CCTV-怀旧剧场 hjjc
CCTV-国防军事 guofangjunshi
环球购物 huanqiugouwu
CCTV-证券资讯 CCTV-zhengquanzixun
CCTV-NEWS CCTVNEWS
CCTV-书画 CCTV—shufa
家有购物 jiayougouwu
CCTV-发现之旅 cctvfaxian
环球购物 huanqiugouwu999
北京卫视 bjws
湖南卫视 hunan
浙江卫视 zhejiang
家有购物 jiayougouwu
东方卫视 dongfang
江苏卫视 jiangsu
安徽卫视 anhui
天津卫视 tianjin
央广购物 yangguanggouwu999
甘肃卫视 gansu
广东卫视 guangdong
贵州卫视 guizhou
河北卫视 hebei
河南卫视 henan
环球购物 huanqiu131-2
黑龙江卫视 heilongjiang
湖北卫视 hubei
中科商城 zhongkeshangcheng
吉林卫视 jilin
山西卫视 shanxi
江西卫视 jiangxi
UGO优购物 yougouwu
辽宁卫视 liaoning
内蒙古卫视 neimenggu
宁夏卫视 ningxia
青海卫视 qinghai
山东卫视 shandong
山东教育卫视 sdjy
乐拍购物 lepaigouwu
广西卫视 guangxi
陕西卫视 shaanxi
深圳卫视 shenzhen
聚鲨厨房 huanqiu-chufang
四川卫视 sichuan
西藏卫视 xizang
新疆卫视 xinjiang
云南卫视 yunnan
重庆卫视 chongqing
厦门卫视 xiamen
东南卫视 dongnan
旅游卫视 lvyou
兵团卫视 bingtuan
农林卫视 nonglin
好买手家具 haomaishou
中国气象 zhongguoqixiang
中国交通 zgjt
CNC中文 xinhuashezhongwen
中国教育 CETV-1
UGO优购物 yougouwu
环球购物 huanqiugouwu999
家有购物 jiayougouwu
乐拍购物 lepaigouwu
央广购物 yangguanggouwu999
中科商城 zhongkeshangcheng
UGO美食汇 ugomeishihui
趣仓特卖 qucanggouwu
环球精选 huanqiujingxuan
UGO女神范 ugonvshenfan
聚鲨国际 huanqiu_guoji
UGO生活馆 ugoshenghuoguan
环球厨房 huanqiuchufang
UGO厨具街 ugochujujie
好买手家具 haomaishou
UGO哇哦淘 ugowoogou
环球购物 huanqiugouwu999
CIBN第一赛场 CIBNdiyisaichang
高尔夫球 380102722
网球赛事 380121722
热血搏击 380121622
广场舞大全 380186322
家有购物 jiayou-yangshi1
先锋乒羽 xfby
四海钓鱼 sihaidiaoyu
快乐垂钓 kuailechuidiao
