CCTV-1综合 cctv1
CCTV-2财经 cctv2
家有购物 jiayou-yangshi1
CCTV-3综艺 cctv3
CCTV-4中文国际 cctv4
CCTV-5体育 cctv5
CCTV-6电影 cctv6
CCTV-7军事农业 cctv7
CCTV-8电视剧 cctv8
好买手家具 haomaishou-zhejiang
CCTV-9记录 cctv9
CCTV-10科教 cctv10
央广购物 yangguang-yangguang1
CCTV-11戏曲 cctv11
CCTV-12社会与法 cctv12
UGO优购物 yougouwu
CCTV-13新闻 cctvnew
CCTV-14少儿 cctvshaoer
CCTV-15音乐 cctvmusic
CCTV-5+体育赛事 cctv5jiaHD
中科商城 zhongkeshangcheng
CCTV-风云足球 fyzq
CCTV-高尔夫网球 golfwangqiu
CCTV-世界地理 shijiedili
UGO生活馆 ugoshenghuoguan
CCTV-风云音乐 fyyy
CCTV-第一剧场 dyjc
乐拍购物 lepaigouwu-jiangsu
CCTV-怀旧剧场 hjjc
CCTV-国防军事 guofangjunshi
CCTV-证券资讯 CCTV-zhengquanzixun
CCTV-NEWS CCTVNEWS
CCTV-书画 CCTV—shufa
家有购物 jiayougouwu
CCTV-发现之旅 cctvfaxian
家有购物 jiayougouwu
央广购物 yangguanggouwu999
中科商城 zhongkeshangcheng
UGO优购物 yougouwu
山东教育卫视 sdjy
乐拍购物 lepaigouwu
厦门卫视 xiamen
东南卫视 dongnan
旅游卫视 lvyou
兵团卫视 bingtuan
农林卫视 nonglin
好买手家具 haomaishou
CNC中文 xinhuashezhongwen
中国教育 CETV-1
UGO优购物 yougouwu
家有购物 jiayougouwu
乐拍购物 lepaigouwu
央广购物 yangguanggouwu999
中科商城 zhongkeshangcheng
UGO美食汇 ugomeishihui
环球精选 huanqiujingxuan
UGO女神范 ugonvshenfan
UGO生活馆 ugoshenghuoguan
环球厨房 huanqiuchufang
UGO厨具街 ugochujujie
好买手家具 haomaishou
UGO哇哦淘 ugowoogou
CIBN第一赛场 CIBNdiyisaichang
高尔夫球 380102722
网球赛事 380121722
广场舞大全 380186322
家有购物 jiayou-yangshi1
天元围棋 tywq
中科商城 zhongkeshangcheng
我的世界 380124922
天骐播客 380186622
悠然小天 380206822
央广购物 yangguang-yangguang1
中科商城 zhongkeshangcheng
动画电影 380206422
CIBN动漫 CIBNdongman
灌篮高手 380188822
龙珠 380188922
家有购物 jiayou-yangshi1
圣斗士星矢 380186022
蜡笔小新 380176322
哆啦A梦 380183222
名侦探柯南 380158422
美少女战士 380185922
奥特曼 380176222
铠甲勇士 380183522
数码宝贝 380189022
神奇宝贝 380192022
央广购物 yangguanggouwu999
动漫乐园 380188722
动画小天地 380206722
喜洋洋 380183422
大头儿子 380183322
巴啦啦小魔仙 380183622
巧虎 380222922
动物兄弟 380173322
米奇妙妙屋 380173222
倒霉熊 380221722
可可小爱 380221622
爆笑虫子 380221522
亲子启蒙 380185522
亲子小游戏 380191722
玩具乐园 380185422
宝宝课堂 380186522
兔小贝儿歌 380222422
儿歌大全 380221922
英文儿歌 380221822
宝宝巴士 380222622
北京卡酷 bjkaku
央广购物 yangguanggouwu999
家有购物 jiayou-yangshi1
奔跑吧兄弟 380189222
非诚勿扰 380191822
王牌对王牌 380228622
爱情保卫战 380191922
相亲选秀 380115622
